"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"74545","20171011001816","PD1000363","Dell Software L+6.0 9/27/2022","MPD1000363",20171103,20171011,20171211,"Server job user","Sell","Sell","Sell","USD",3796889.81,3033750.00,3033750.00,20171211,"REALIZED SECURITY GL FGN DIR PRIV DEBT",3000000.0000000,3796889.81,3033750.00
"74545","20171011001816","PD1000363","Dell Software L+6.0 9/27/2022","MPD1000363",20171103,20171011,20171211,"Server job user","Sell","Sell","Sell","USD",3796889.81,3033750.00,3033750.00,20171211,"REALIZED CURR GL FGN DIR PRIV DEBT",3000000.0000000,3796889.81,3033750.00
"48458672","20171011001274","BANK INT INC&OD","Bank Interest Income & OD charges","MPR1000097",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","EUR",32.13,21.73,21.73,20171001,"",21.7300000,32.13,21.73
"48458673","20171011001274","BANK INT INC&OD","Bank Interest Income & OD charges","MPR1000097",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","EUR",0.00,0.00,0.00,20171001,"",21.7300000,0.00,0.00
"48458592","20171011001234","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000021",20171011,20171001,20171001,"Jenny Ouyang","ChargeCash","SettRecv","Settle Receivables","CAD",52.75,52.75,52.75,20171001,"",52.7500000,52.75,52.75
"48458593","20171011001234","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000021",20171011,20171001,20171001,"Jenny Ouyang","ChargeCash","Charge","Charge","CAD",0.00,0.00,0.00,20171001,"",52.7500000,0.00,0.00
"48458590","20171011001233","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000021",20171011,20171001,20171001,"Jenny Ouyang","ChargeCash","Charge","Charge","CAD",0.00,0.00,0.00,20171001,"",32.9900000,0.00,0.00
"48458589","20171011001233","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000021",20171011,20171001,20171001,"Jenny Ouyang","ChargeCash","SettRecv","Settle Receivables","CAD",32.99,32.99,32.99,20171001,"",32.9900000,32.99,32.99
"48458588","20171011001231","BANK INT INC&OD","Bank Interest Income & OD charges","M219999992",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","EUR",0.00,0.00,0.00,20171001,"",936.6300000,0.00,0.00
"48458587","20171011001231","BANK INT INC&OD","Bank Interest Income & OD charges","M219999992",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","EUR",1384.82,936.63,936.63,20171001,"",936.6300000,1384.82,936.63
