"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"74521","20171011000637","PD1000367","Pretium Packaging L+5.75 11/14/2022","MPD1000367",20171011,20171002,20171002,"Server job user","GenCost","General Cost","General Cost","USD",-5294.40,-4235.69,-4235.69,20171002,"INTEREST RECEIVABLE DIR PRIV DEBT",0.0000000,0.00,0.00
"74520","20171011000636","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",51901.53,51901.53,41539.50,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74520","20171011000636","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",51901.53,51901.53,41539.50,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74520","20171011000636","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",51901.53,51901.53,41539.50,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74520","20171011000636","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",51901.53,51901.53,41539.50,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"REALIZED SECURITY GL FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"DIVIDEND INC FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"COST OF INVESTMENT FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"REALIZED CURR GL FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"COST OF INVESTMENT FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"REALIZED SECURITY GL FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"DUE FROM BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74518","20171011000634","FS1000173","The Fourth Cinven Fund","M990CZF906",20171013,20171013,20171013,"Batch job user","GenCost","General Cost","General Cost","EUR",-6706833.02,-4540450.01,-4540450.01,20171013,"DUE FROM BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
