Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75315","FS1000383","4","Closed","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MFS1000383","Siris Partners III, L.P.",37162226.00000,"USD","Yes",37162226.00000,"USD"," ",2017-11-01 10:40:38.943,Investran,2017-11-06 09:55:39.443
"75316","FS1000617","4","Closed","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MFS1000617","Siris Partners III, LP (Mosers)",7402376.00000,"USD","Yes",7402376.00000,"USD"," ",2017-11-01 10:46:39.490,Investran,2017-11-06 11:35:20.357
"75317","PD1000406","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPD1000406","Skillsoft-L+4.75%-Apr-21",111614.46000,"USD","No",0," "," ",2017-11-01 10:50:17.823,WSO,2017-11-06 09:11:44.217
"75320","IN1000064","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000064","Pacific National",360.61000,"AUD","Yes",360.61000,"AUD","Shang, Jenny",2017-11-01 11:18:27.803,Investran,2017-11-01 19:47:30.820
"75324","IN1000065","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000065","North West Roads Group-CART",22.12000,"AUD","Yes",22.12000,"AUD","Shang, Jenny",2017-11-01 11:25:33.803,Investran,2017-11-01 15:33:59.080
"75325","FS1000409","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MFS1000409","Corporate Expenses - Funds (VCC)",181.80000,"CAD","Yes",181.80000,"CAD","Gavadza, Olena",2017-11-01 11:32:44.627,Investran,2017-11-01 15:29:32.523
"75326","FS1000607","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MFS1000607","New Mountain Partners III, LP (Mosers)",226.37000,"USD","Yes",291.82000,"CAD","Gavadza, Olena",2017-11-01 11:32:45.193,Investran,2017-11-01 15:30:16.073
"75327","FS1000327","4","Closed","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MFS1000327","Apollo Investment Fund VIII, L.P.",5820232.94000,"USD","Yes",5820232.94000,"USD"," ",2017-11-01 11:34:49.983,Investran,2017-11-07 17:57:26.040
"75328","IN1000067","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000067","North West Roads Group-Intoll Trust 1 Ops",15.08000,"AUD","Yes",15.08000,"AUD","Shang, Jenny",2017-11-01 11:36:25.033,Investran,2017-11-01 15:47:40.257
"75329","IN1000066","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000066","Westlink M7-Intoll Trust (I)",21020.44000,"AUD","Yes",21020.44000,"AUD","Shang, Jenny",2017-11-01 11:49:01.703,Investran,2017-11-01 19:48:33.580
"75330","IN1000036","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000036","Grupo Costanera (PDHI Transition)",581769.30000,"CLP","Yes",1179.45000,"CAD","Gavadza, Olena",2017-11-01 11:50:26.880,Investran,2017-11-01 15:36:50.037
"75331","IN1000037","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000037","Transelec SA (PDHI - B2B Loan)",871.49000,"USD","Yes",1123.43000,"CAD","Gavadza, Olena",2017-11-01 11:50:27.407,Investran,2017-11-01 15:37:28.400
"75332","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",681.72000,"CAD","Yes",681.72000,"CAD","Gavadza, Olena",2017-11-01 11:50:27.737,Investran,2017-11-01 15:38:01.500
"75334","77099B980","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M77099B980","TPG Partners VI, L.P. (PIP)",51817.00000,"USD","Yes",51817.00000,"USD"," ",2017-11-01 12:01:37.447,Investran,2017-11-02 13:01:53.573
